Datum,Bensin,Diesel,Gasol,Tillbehör,Kiosk,Service,Båtuthyrning,Kajakuthyrning,Skoteruthyrning,Totalt
2013-06-14,1,0,0,0,59,,0,,,60
2013-06-18,1839,7142,1300,451,523,,400,,,11655
2013-06-19,0,0,0,0,0,,0,,,0
2013-06-20,8121,3613,385,447,236,,0,,,12802
2013-06-21,5286,5786,0,15,282,,680,,,12049
2013-06-22,955,1640,0,237,207,,0,,,3039
2013-06-23,1488,13173,0,1095,319,,0,,,16075
2013-06-24,1418,656,385,129,42,,0,,,2630
2013-06-25,3009,10816,593,175,300,,300,,,15193
2013-06-26,0,0,0,0,0,,0,,,0
2013-06-27,1220,5632,0,776,343,,0,,,7971
2013-06-28,2347,2847,0,512,179,,0,,,5885
2013-06-29,631,3572,325,589,47,,400,,,5564
2013-06-30,6685,24124,325,1278,530,,0,,,32942
2013-07-01,793,8315,0,437,281,,0,,,9826
2013-07-02,0,0,0,0,0,,0,,,0
2013-07-03,11753,17317,325,1343,758,,0,,,31496
2013-07-04,0,0,0,0,0,,0,,,0
2013-07-05,18145,8267,325,2231,572,,75,,,29615
2013-07-06,30551,24806,0,1434,1277,,400,,,58468
2013-07-07,20193,13780,464,408,1252,,0,,,36097
2013-07-08,158,28942,0,1056,1005,,200,,,31361
2013-07-09,20633,14697,1145,1339,1095,,1100,,,40009
2013-07-10,4310,3042,0,1628,383,,0,,,9363
2013-07-11,32991,21715,650,1285,1622,,2000,,,60263
2013-07-12,24315,18090,0,1885,563,,0,,,44853
2013-07-13,12794,12243,650,1242,1767,,1400,,,30096
2013-07-14,6458,6147,1300,1634,718,,400,,,16657
2013-07-15,3834,15731,1300,1006,185,,0,,,22056
2013-07-16,8780,13423,1240,573,705,,900,,,25621
2013-07-17,30879,21524,325,1624,1275,,1250,,,56877
2013-07-18,17474,16267,1470,1197,869,,800,,,38077
2013-07-19,22236,9394,975,1172,1202,,900,,,35879
2013-07-20,28218,25916,650,1064,2118,,6500,,,64466
2013-07-21,34337,19240,3450,2330,1211,,4390,,,64958
2013-07-22,21096,10319,1950,1340,1713,,1500,,,37918
2013-07-23,37437,24450,2155,1274,2151,,1400,,,68867
2013-07-24,16023,29890,650,1207,1299,,0,,,49069
2013-07-25,17094,31026,325,1032,1668,,1400,,,52545
2013-07-26,33420,21341,2200,3026,1269,,1775,,,63031
2013-07-27,19771,24284,375,633,1115,,3350,,,49528
2013-07-28,0,0,0,0,0,,0,,,0
2013-07-29,26443,36604,375,1753,1412,,1350,,,67937
2013-07-30,14065,14376,375,884,1240,,800,,,31740
2013-07-31,10127,7640,0,541,530,,1000,,,19838
2013-08-01,24927,15717,2275,1678,779,,200,,,45576
2013-08-02,15664,24466,1225,1204,891,,1550,,,45000
2013-08-03,5100,1498,650,776,615,,500,,,9139
2013-08-04,14218,9752,650,1002,1429,,0,,,27051
2013-08-05,13308,11669,975,1232,600,,2050,,,29834
2013-08-06,0,0,0,0,0,,0,,,0
2013-08-07,23624,12905,1970,1025,1387,,850,,,41761
2013-08-08,0,0,0,0,0,,0,,,0
2013-08-09,22249,6710,975,737,664,,1300,,,32635
2013-08-10,0,0,0,0,0,,0,,,0
2013-08-11,245,5936,710,302,856,,800,,,8849
2013-09-02,67,4360,650,133,114,,800,,,6124
2014-06-14,9947,3784,0,0,133,,0,,,13864
2014-06-15,5087,1123,325,0,122,,0,,,6657
2014-06-16,0,0,0,0,0,,0,,,0
2014-06-17,0,0,0,0,0,,0,,,0
2014-06-18,0,0,0,0,0,,0,,,0
2014-06-19,0,0,0,0,0,,0,,,0
2014-06-20,7160,5240,385,20,680,,200,,,13685
2014-06-21,6611,8268,385,171,720,,0,,,16155
2014-06-22,9429,0,0,1018,304,,1600,,,12351
2014-06-23,4355,2961,0,30,96,,0,,,7442
2014-06-24,2867,2386,0,468,64,,0,,,5785
2014-06-25,7830,2604,0,224,272,,0,,,10930
2014-06-26,1745,6157,0,10,252,,800,,,8964
2014-06-27,1192,2763,0,260,303,,0,,,4518
2014-06-28,4235,2127,0,144,238,,0,,,6744
2014-06-29,2408,5257,0,0,75,,0,,,7740
2014-06-30,166,819,0,40,277,,0,,,1302
2014-07-01,5505,3526,0,237,231,,0,,,9499
2014-07-02,17925,4016,325,1273,832,,1000,,,25371
2014-07-03,495,168,0,119,171,,0,,,953
2014-07-04,3977,6114,650,160,833,,0,,,11734
2014-07-05,27120,9331,650,945,1305,,800,,,40151
2014-07-06,16264,11123,610,423,772,,0,,,29192
2014-07-07,9193,10796,0,377,145,,0,,,20511
2014-07-08,17634,12058,0,400,1288,,10,,,31390
2014-07-09,34791,7507,2020,854,1481,,0,,,46653
2014-07-10,44060,19592,1910,1014,3595,,400,,,70571
2014-07-11,30586,28852,385,1381,2965,,3450,,,67619
2014-07-12,9875,16502,325,1627,3229,,400,,,31958
2014-07-13,165,6404,975,737,2208,,0,,,10489
2014-07-14,11155,30730,1045,1545,847,,5800,,,51122
2014-07-15,11004,13539,1035,323,1000,,0,,,26901
2014-07-16,31980,9972,2900,3903,2146,,1650,,,52551
2014-07-17,8896,15685,3250,538,1500,,150,,,30019
2014-07-18,42964,20201,325,2618,2368,,2050,,,70526
2014-07-19,38855,35957,2925,1534,2833,,3600,,,85704
2014-07-20,39444,21908,2675,1509,3374,,600,,,69510
2014-07-21,4540,19699,1600,2774,2386,,2500,,,33499
2014-07-22,36132,47648,2600,2315,3552,,1900,,,94147
2014-07-23,57260,21078,325,3129,3191,,1800,,,86783
2014-07-24,39917,21310,975,2655,4558,,1400,,,70815
2014-07-25,77378,30873,2445,3617,4693,,1700,,,120706
2014-07-26,43266,11648,2435,2390,3095,,1200,,,64034
2014-07-27,8160,23350,550,858,692,,300,,,33910
2014-07-28,1014,38835,1800,1978,1661,,800,,,46088
2014-07-29,28865,15003,650,1542,2385,,2250,,,50695
2014-07-30,9928,10367,3250,1162,1320,,600,,,26627
2014-07-31,3888,4546,750,853,1405,,875,,,12317
2014-08-01,18150,8937,710,754,772,,600,,,29923
2014-08-02,15854,15182,525,985,1582,,800,,,34928
2014-08-03,13924,6905,1625,286,1107,,550,,,24397
2014-08-04,3066,12346,1495,1218,230,,0,,,18355
2014-08-05,1812,8759,2050,1515,383,,0,,,14519
2014-08-06,10788,6727,3160,512,443,,400,,,22030
2014-08-07,13467,10598,0,708,664,,1150,,,26587
2014-08-08,11648,16560,325,160,342,,0,,,29035
2014-08-09,8604,2926,975,369,237,,400,,,13511
2014-08-10,1556,959,0,79,242,,0,,,2836
2014-09-02,0,0,0,0,0,,0,,,0
2015-06-18,0,7800,325,0,20,,0,,,8145
2015-06-19,1261,1960,385,119,622,,0,,,4347
2015-06-20,9199,7666,0,595,2336,,600,,,20396
2015-06-21,1193,6078,0,697,250,,800,,,9018
2015-06-22,600,14995,0,0,110,,0,,,15705
2015-06-23,0,0,0,0,0,,0,,,0
2015-06-24,0,0,0,0,0,,0,,,0
2015-06-25,2568,859,495,434,587,,800,,,5743
2015-06-26,3527,5515,325,320,909,,450,,,11046
2015-06-27,6507,2199,0,708,497,,0,,,9911
2015-06-28,8265,1106,325,387,474,,2000,,,12557
2015-06-29,154,9809,745,149,85,,2500,,,13442
2015-06-30,16636,8851,350,308,892,,0,,,27037
2015-07-01,11543,11437,0,622,289,,0,,,23891
2015-07-02,7847,10731,0,681,854,,0,,,20113
2015-07-03,14042,11534,350,329,1400,,0,,,27655
2015-07-04,22466,35802,1545,2300,1547,,1250,,,64910
2015-07-05,17815,8471,1050,967,1600,,2400,,,32303
2015-07-06,2983,9125,0,370,254,,0,,,12732
2015-07-07,319,113,700,189,165,,0,,,1486
2015-07-08,3276,1834,350,695,837,,8400,,,15392
2015-07-09,7374,3883,350,1492,709,,0,,,13808
2015-07-10,3217,11679,1400,1161,702,,0,,,18159
2015-07-11,29622,15438,700,1018,3759,,0,,,50537
2015-07-12,14210,6376,935,896,1524,,950,,,24891
2015-07-13,12202,20358,700,568,1373,,2900,,,38101
2015-07-14,21215,20441,1400,1384,1381,,0,,,45821
2015-07-15,17781,23205,2388,1352,2174,,0,,,46900
2015-07-16,17903,20541,350,128,1486,,0,,,40408
2015-07-17,34971,18749,-145,2289,2109,,0,,,57973
2015-07-18,4890,2043,1240,1889,738,,4600,,,15400
2015-07-19,9547,7757,700,495,554,,0,,,19053
2015-07-20,19487,31131,2450,955,1244,,600,,,55867
2015-07-21,5050,11678,2175,1344,337,,0,,,20584
2015-07-22,10517,0,350,403,1177,,700,,,13147
2015-07-23,5876,9693,1545,1511,950,,0,,,19575
2015-07-24,11856,4239,0,626,893,,0,,,17614
2015-07-25,5480,1240,350,228,546,,0,,,7844
2015-07-26,5149,2097,1050,448,273,,200,,,9217
2015-07-27,12349,8669,350,1351,638,,1050,,,24407
2015-07-28,10114,5010,1050,645,980,,0,,,17799
2015-07-29,5383,17785,1475,1741,958,,0,,,27342
2015-07-30,19761,7009,1750,717,1583,,1550,,,32370
2015-07-31,18504,12127,0,1175,1011,,1075,,,33892
2015-08-01,12422,7188,700,1114,1032,,400,,,22856
2015-08-02,10349,15133,1840,523,796,,0,,,28641
2015-08-03,16998,18562,350,1260,1053,,200,,,38423
2015-08-04,11002,8429,1297,701,596,,1500,,,23525
2015-08-05,6468,13860,525,145,209,,0,,,21207
2015-08-06,20772,13985,657,1032,928,,1900,,,39274
2015-08-07,11180,8623,1095,229,277,,300,,,21704
2015-08-08,6600,2189,0,482,192,,800,,,10263
2015-08-09,4788,4669,350,254,366,,200,,,10627
2015-08-10,232,395,0,0,30,,1100,,,1757
2016-06-14,400,,,398,62,,2300,,,3160
2016-06-18,4587,1589,,,357,,,,,6533
2016-06-19,3049,2636,,,,,,,,5685
2016-06-21,926,,,169,92,,800,,,1987
2016-06-23,148,,350,,,,300,,,798
2016-06-24,8752,10837,,640,934,,,,,21353
2016-06-25,25664,13248,350,778,2774,,800,,,43805
2016-06-26,1178,1424,350,97,147,,150,,,3538
2016-06-27,,5444,,,150,,,,,5787
2016-06-28,995,,700,30,466,,,,,2385
2016-06-29,2323,5081,523,112,302,,,,,8536
2016-06-30,391,2712,350,238,162,500,600,,,5149
2016-07-01,,1185,,366,150,,,,,1898
2016-07-02,924,393,,99,377,,501,,,2492
2016-07-03,4616,759,,398,402,,,,,6374
2016-07-04,7477,550,350,396,502,,,,,9475
2016-07-05,2427,5536,1050,309,318,,600,,,10441
2016-07-06,4714,7330,350,184,403,,600,,,13783
2016-07-07,7055,10922,700,745,606,,1900,790,,22921
2016-07-08,4436,7117,1750,551,449,,7400,,,21907
2016-07-09,15275,10240,,1177,840,,1100,,,28837
2016-07-10,7262,19020,,,191,,,,,26679
2016-07-11,6415,8016,1051,,463,,-3100,,,13052
2016-07-12,6745,7188,700,438,678,,,,,15957
2016-07-13,9354,1573,1400,596,697,,,,,13829
2016-07-14,25400,11844,1400,711,1458,,200,300,,41523
2016-07-15,25769,15605,1050,2358,1516,,2550,595,,49654
2016-07-16,4545,2684,700,392,2166,,,,,10699
2016-07-17,9029,7842,,488,888,,,,,18460
2016-07-18,27189,13677,1346,1237,1569,,3604,,,48836
2016-07-19,30622,23839,350,2756,1551,200,-430,,,59103
2016-07-20,5179,25698,3738,1359.6,2194,,1400,1195,,40979.6
2016-07-21,35461,33293,2100,1905,3378,,1600,1540,,79494
2016-07-22,45945,27538,1050,2296,3281,,4500,400,,85228
2016-07-23,32259,45702,1796,2973,2283,300,1600,500,,87632
2016-07-24,53239,24976,2946,1808,2809,,1800,1385,,89183
2016-07-25,38297,34475,2691,2362,3632,,1200,1290,,84168
2016-07-26,28481,8893,2291,1632,3041,,1600,,,46160
2016-07-27,14934,16704,1750,1112,2350,,4800,600,,42473
2016-07-28,19930,16710,350,337,2050,,2200,,,41801
2016-07-29,18306,17518,700,1316,1847,,1500,990,,42402
2016-07-30,16029,10635,2348,1586,2468,,400,990,,34682
2016-07-31,3894,161,2273,25,1011,,,,,7591
2016-08-01,7709.56,12896,700,534,1013.5,,,,,23081.06
2016-08-02,3658,4168,1750,109,1573,,,,,11487
2016-08-03,14235,25810,1400,1076,2140,,1400,,,46291
2016-08-04,4723,7237,541,203,1075,,,,,14010
2016-08-05,9260,5707,1096,455,969,,500,,,18219
2016-08-06,6622,8328,350,84,714,,,,,16331
2016-08-07,6242,1026,,1113,136,,2300,,,11051
2017-06-10,3071,2681,,,491,,,,,6243
2017-06-16,,,,,,,,,,
2017-06-17,9948,954,350,313,1424,0,0,0,0,12989
2017-06-18,,,,,,,,,,0
2017-06-19,,,,,,,,,,0
2017-06-20,,,,,,,,,,0
2017-06-21,,,,,,,,,,0
2017-06-22,,,,,,,,,,0
2017-06-23,3411,156,1492,297,456,0,2100,0,0,7912
2017-06-24,15702,5918,0,39,373,0,0,0,0,22032
2017-06-25,2984,0,89,0,99,0,0,0,0,3172
2017-06-26,2580,4116,523,79,156,0,200,0,0,7654
2017-06-27,5284,11148,0,458,384,0,0,0,0,17274
2017-06-28,10717,7853,0,139,333,0,750,0,0,19792
2017-06-29,757,6434,0,308,0,0,200,0,0,7699
2017-06-30,2617,81,0,30,689,0,0,0,0,3417
2017-07-01,11783,8026,350,516,369,0,0,0,0,21044
2017-07-02,3677,934,0,90,207,0,800,0,0,5708
2017-07-03,1318,480,350,278,242,200,0,0,0,2868
2017-07-04,15405,6067,1692,149,421,0,0,0,0,23734
2017-07-05,17288,9679,0,311,1560,0,1150,200,0,30188
2017-07-06,3519,2757,350,387,764,0,0,250,600,8627
2017-07-07,3809,16256,700,418,743,,800,,1200,23926
2017-07-08,10383,5010,2452,819,702,,3750,,,23116
2017-07-09,14086,2340,350,1041,1116,,,,,18933
2017-07-10,15766,9629,700,1215,457,0,0,0,2400,30167
2017-07-11,13244,26913,1750,697,641,0,800,250,0,44295
2017-07-12,24897,21794,700,1561,1524,0,900,1700,0,53076
2017-07-13,28249,20903,1050,1320,1084,,1300,,,53906
2017-07-14,29294,9706,2102,1804,1403,,550,600,1700,47159
2017-07-15,22743,8804,700,1603,3748,,500,600,5700,44398
2017-07-16,1166,781,700,823,359,,800,,,4629
2017-07-17,3674,677,1050,,104,,,,,5505
2017-07-18,30101,32196,1500,1264,1471,,2100,1500,900,71032
2017-07-19,43435,28901,1346,1681,2520,,1400,,1000,80283
2017-07-20,43230,11384,350,863,2581,,900,,3300,62608
2017-07-21,10716,10997,1400,925,654,,,800,1800,27292
2017-07-22,47021,14796,3196,1524,2932,,500,550,2800,73319
2017-07-23,33726,13693,1638,2191,1056,,,,1500,53804
2017-07-24,22321,15349,796,2399,1855,,,,1500,44220
2017-07-25,33309,21538,1896,1775,1723,,3500,,1400,65141
2017-07-26,22671,8014,,2039,1243,,3600,2750,3500,43817
2017-07-27,18125,22227,1519,631,1086,,2400,1600,2000,49588
2017-07-28,28124,10397,1796,725,666,,500,,2500,44708
2017-07-29,6160,10438,1050,199,329,,,,,18176
2017-07-30,3754,16944,1796,1270,638,,,6500,,30902
2017-07-31,17038,13535,1400,1881,1310,,,,1900,37064
2017-08-01,35743,20514,350,843,1126,,2300,100,3300,64276
2017-08-02,10316,7281,1223,448,1052,,1450,,3200,24970
2017-08-03,6981,9174,350,149,265,,,600,,17519
2017-08-04,11518,2465,700,586,274,,800,,1200,17543
2017-08-05,8126,7056,1096,413,456,,4000,,,21147
2017-08-06,3608,176,350,353,222,,1500,,,6209
2017-08-07,,,,,,,,,,0
2017-08-08,16512,17092,2494,1139,1151,,1250,1500,3000,44138
2017-08-09,,,,,,,,,,0
2017-08-10,,,,,,,,,,0
2017-08-11,31063,4303,746,1590,932,,1500,300,2700,43134
2017-08-12,,,,,,,,,,0
2017-08-13,16399,1667,0,0,910,,,,500,19476
2017-08-14,,,,,,,,,,0
2017-08-15,,,,,,,,,,0
2017-08-16,,,,,,,,,,0
2017-08-17,,,,,,,,,,0
2017-08-18,,,,,,,,,,0
2017-08-19,,,,,,,,,,0
2017-08-20,1185,1321,700,279,79,,7500,1550,3750,16364